pharma_company,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,brand_name_en,generic_name_en,substance_name_en,atc_code
Actero middleeast,اکتوورکو,اکتوورکو,الیت دارو,ایران,فاویپیراویر   قرص خوراکی 200 mg,FAVIPIRAVIR   TABLET ORAL 200 mg,FAVIPIRAVIR TABLET ORAL 200 mg,FAVIPIRAVIR,J05AX
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,رمدسیویر   محلول تزریقی پرنترال 5 mg/1mL 20 mg,"REMDESIVIR   INJECTION, SOLUTION PARENTERAL 5 mg/1mL 20 mg","REMDESIVIR INJECTION, SOLUTION PARENTERAL 5 mg/1mL 20 mL",REMDESIVIR,J05
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 40 mg,"NOLPAZA   TABLET, DELAYED RELEASE ORAL 40 mg","PANTOPRAZOLE TABLET, DELAYED RELEASE ORAL 40 mg",PANTOPRAZOLE,A02BC02
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 50 mg,ASENTRA   TABLET ORAL 50 mg,SERTRALINE (AS HYDROCHLORIDE) TABLET ORAL 50 mg,SERTRALINE (AS HYDROCHLORIDE),N06AB06
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,ناکسپرین   تزریقی پرنترال 100 mg/1mL 0.4 mL,NOXPRIN   INJECTION PARENTERAL 100 mg/1mL 0.4 mL,ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.4 mL,ENOXAPARIN SODIUM,B01AB05
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 100 mg,ASENTRA   TABLET ORAL 100 mg,SERTRALINE (AS HYDROCHLORIDE) TABLET ORAL 100 mg,SERTRALINE (AS HYDROCHLORIDE),N06AB06
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 500 mg,GLUCOPHAGE   TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE,A10BA02
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 500 mg,GLUCOPHAGE   TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE,A10BA02
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,زیلت   قرص خوراکی 75 mg,ZYLLT   TABLET ORAL 75 mg,CLOPIDOGREL (AS BISULFATE) TABLET ORAL 75 mg,CLOPIDOGREL (AS BISULFATE),B01AC04
Actoverco,اکتوورکو,Merck Kgaa,الیت دارو,ایران,نوروبیون   تزریقی پرنترال 100 mg/100 mg/1000 ug/3mL  mL,NEUROBION   INJECTION PARENTERAL 100 mg/100 mg/1000 ug/3mL  mL,VITAMIN B1 / VITAMIN B6 / VITAMIN B12 INJECTION PARENTERAL 100 mg/100 mg/1000 ug/3mL,VITAMIN B1 / VITAMIN B6 / VITAMIN B12,A11EA
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,ویزارسین   قرص خوراکی 100 mg,VIZARSIN   TABLET ORAL 100 mg,SILDENAFIL (AS CITRATE) TABLET ORAL 100 mg,SILDENAFIL (AS CITRATE),G04BE03
Merck Kgaa,اکتوورکو,Merck Kgaa,الیت دارو,آلمان,یوتیروکس   قرص خوراکی 100 ug,EUTHYROX   TABLET ORAL 100 ug,LEVOTHYROXINE SODIUM TABLET ORAL 100 ug,LEVOTHYROXINE SODIUM,H03AA01
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 2.6 mg,"SUSTAC   TABLET, EXTENDED RELEASE ORAL 2.6 mg","NITROGLYCERIN TABLET, EXTENDED RELEASE ORAL 2.6 mg",NITROGLYCERIN,C01DA02
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,کنکور کور   قرص خوراکی 2.5 mg,CONCOR COR   TABLET ORAL 2.5 mg,BISOPROLOL FUMARATE TABLET ORAL 2.5 mg,BISOPROLOL FUMARATE,C07AB07
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 20 mg,"NOLPAZA   TABLET, DELAYED RELEASE ORAL 20 mg","PANTOPRAZOLE TABLET, DELAYED RELEASE ORAL 20 mg",PANTOPRAZOLE,A02BC02
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتولوکاست   قرص خوراکی 10 mg,ACTOLUKAST   TABLET ORAL 10 mg,MONTELUKAST TABLET ORAL 10 mg,MONTELUKAST,R03DC03
Merck Serono S.p.a.,اکتوورکو,Merck Europe BV,الیت دارو,ایتالیا,ربیف   تزریقی پرنترال 12000000 [iU] 0.5 ug,REBIF   INJECTION PARENTERAL 12000000 [iU] 0.5 ug,INTERFERON BETA-1A INJECTION PARENTERAL 12000000 [iU] 0.5 mL,INTERFERON BETA-1A,L03AB07
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,کنکور   قرص خوراکی 5 mg,CONCOR   TABLET ORAL 5 mg,BISOPROLOL FUMARATE TABLET ORAL 5 mg,BISOPROLOL FUMARATE,C07AB07
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,یاسنال   قرص خوراکی 10 mg,YASNAL   TABLET ORAL 10 mg,DONEPEZIL HYDROCHLORIDE TABLET ORAL 10 mg,DONEPEZIL HYDROCHLORIDE,N06DA02
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوکلد   قرص خوراکی 15 mg/2 mg/5 mg/500 mg,ACTOCOLD   TABLET ORAL 15 mg/2 mg/5 mg/500 mg,ADULT COLD PREPARATIONS (7-23) TABLET ORAL 15 mg/2 mg/5 mg/500 mg,ADULT COLD PREPARATIONS (7-23),R05X
