,Unnamed: 0,pharma_company,brand_name_en,generic_name_en,substance_name_en,atc_code_raw,anatomical_desc,therapeutic_desc,pharmacological_desc,subpharmacological_desc,chemical_desc,preprocessed_index
0,0,actero middleeast,favipiravir   tablet oral 200 mg,favipiravir tablet oral 200 mg,favipiravir,j05ax,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,other antivirals,,0
1,1,actoverco,"remdesivir   injection, solution parenteral 5 mg/1ml 20 mg","remdesivir injection, solution parenteral 5 mg/1ml 20 ml",remdesivir,j05,antiinfectives for systemic use,antivirals for systemic use,,,,1
2,2,actoverco,"nolpaza   tablet, delayed release oral 40 mg","pantoprazole tablet, delayed release oral 40 mg",pantoprazole,a02bc02,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,pantoprazole,2
3,3,actoverco,"nolpaza   tablet, delayed release oral 40 mg","pantoprazole tablet, delayed release oral 40 mg",pantoprazole,a02bc02,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,pantoprazole,3
4,4,actoverco,asentra   tablet oral 50 mg,sertraline (as hydrochloride) tablet oral 50 mg,sertraline (as hydrochloride),n06ab06,nervous system,psychoanaleptics,antidepressants,selective serotonin reuptake inhibitors,sertraline,4
5,5,actoverco,noxprin   injection parenteral 100 mg/1ml 0.4 ml,enoxaparin sodium injection parenteral 100 mg/1ml 0.4 ml,enoxaparin sodium,b01ab05,blood and blood forming organs,antithrombotic agents,antithrombotic agents,heparin group,enoxaparin,5
6,6,actoverco,asentra   tablet oral 100 mg,sertraline (as hydrochloride) tablet oral 100 mg,sertraline (as hydrochloride),n06ab06,nervous system,psychoanaleptics,antidepressants,selective serotonin reuptake inhibitors,sertraline,6
7,7,actoverco,glucophage   tablet oral 500 mg,metformin hydrochloride tablet oral 500 mg,metformin hydrochloride,a10ba02,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",biguanides,metformin,7
8,8,actoverco,glucophage   tablet oral 500 mg,metformin hydrochloride tablet oral 500 mg,metformin hydrochloride,a10ba02,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",biguanides,metformin,8
9,9,actoverco,zyllt   tablet oral 75 mg,clopidogrel (as bisulfate) tablet oral 75 mg,clopidogrel (as bisulfate),b01ac04,blood and blood forming organs,antithrombotic agents,antithrombotic agents,platelet aggregation inhibitors excl. heparin,clopidogrel,9
