نام شرکت تولید کننده,نام شرکت تامین کننده,نام صاحب برند,توزیع کننده,کشور تولید  کننده,نام برند,نام لاتین برند,نام ژنریک,نام ماده موثره, تعداد فروش (بسته) , تعداد در بسته , فروش عددی , فروش ریالی مصرف کننده ,کد ژنریک,OTC,بیولوژیک,ATC Code,,
Actero middleeast,اکتوورکو,اکتوورکو,الیت دارو,ایران,فاویپیراویر   قرص خوراکی 200 mg,FAVIPIRAVIR   TABLET ORAL 200 mg,FAVIPIRAVIR TABLET ORAL 200 mg,FAVIPIRAVIR," 495,658 ", 60 ," 29,739,480 "," 3,717,435,000,000 ",52661,0,0,J05AX,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,رمدسیویر   محلول تزریقی پرنترال 5 mg/1mL 20 mg,"REMDESIVIR   INJECTION, SOLUTION PARENTERAL 5 mg/1mL 20 mg","REMDESIVIR INJECTION, SOLUTION PARENTERAL 5 mg/1mL 20 mL",REMDESIVIR," 426,789 ", 1 ," 426,789 "," 2,696,191,100,000 ",52707,0,0,J05,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 40 mg,"NOLPAZA   TABLET, DELAYED RELEASE ORAL 40 mg","PANTOPRAZOLE TABLET, DELAYED RELEASE ORAL 40 mg",PANTOPRAZOLE," 3,056,042 ", 28 ," 85,569,176 "," 2,105,653,060,000 ",2333,0,0,A02BC02,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 50 mg,ASENTRA   TABLET ORAL 50 mg,SERTRALINE (AS HYDROCHLORIDE) TABLET ORAL 50 mg,SERTRALINE (AS HYDROCHLORIDE)," 3,475,813 ", 28 ," 97,322,764 "," 2,092,439,426,000 ",1896,0,0,N06AB06,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,ناکسپرین   تزریقی پرنترال 100 mg/1mL 0.4 mL,NOXPRIN   INJECTION PARENTERAL 100 mg/1mL 0.4 mL,ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.4 mL,ENOXAPARIN SODIUM," 237,198 ", 12 ," 2,846,376 "," 1,633,761,410,400 ",2043,0,0,B01AB05,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 100 mg,ASENTRA   TABLET ORAL 100 mg,SERTRALINE (AS HYDROCHLORIDE) TABLET ORAL 100 mg,SERTRALINE (AS HYDROCHLORIDE)," 1,172,672 ", 28 ," 32,834,816 "," 1,313,392,640,000 ",1897,0,0,N06AB06,,
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 500 mg,GLUCOPHAGE   TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE," 909,660 ", 100 ," 90,966,000 "," 1,246,234,200,000 ",817,0,0,A10BA02,,
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 500 mg,GLUCOPHAGE   TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE," 891,861 ", 100 ," 89,186,100 "," 1,222,102,950,000 ",817,0,0,A10BA02,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,زیلت   قرص خوراکی 75 mg,ZYLLT   TABLET ORAL 75 mg,CLOPIDOGREL (AS BISULFATE) TABLET ORAL 75 mg,CLOPIDOGREL (AS BISULFATE)," 845,158 ", 28 ," 23,664,424 "," 1,076,731,292,000 ",1788,0,0,B01AC04,,
Actoverco,اکتوورکو,Merck Kgaa,الیت دارو,ایران,نوروبیون   تزریقی پرنترال 100 mg/100 mg/1000 ug/3mL  mL,NEUROBION   INJECTION PARENTERAL 100 mg/100 mg/1000 ug/3mL  mL,VITAMIN B1 / VITAMIN B6 / VITAMIN B12 INJECTION PARENTERAL 100 mg/100 mg/1000 ug/3mL,VITAMIN B1 / VITAMIN B6 / VITAMIN B12," 6,314,338 ", 3 ," 18,943,014 "," 947,150,700,000 ",10427,0,0,A11EA,,
