,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
0,0,اکتوورکو,اکتوورکو,الیت دارو,ایران,فاویپیراویر   قرص خوراکی 200 mg,0
1,1,اکتوورکو,اکتوورکو,الیت دارو,ایران,رمدسیویر   محلول تزریقی پرنترال 5 mg/1ml 20 mg,1
2,2,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 40 mg,2
3,3,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 40 mg,3
4,4,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 50 mg,4
5,5,اکتوورکو,اکتوورکو,الیت دارو,ایران,ناکسپرین   تزریقی پرنترال 100 mg/1ml 0.4 ml,5
6,6,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 100 mg,6
7,7,اکتوورکو,merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 500 mg,7
8,8,اکتوورکو,merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 500 mg,8
9,9,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,زیلت   قرص خوراکی 75 mg,9
10,10,اکتوورکو,merck kgaa,الیت دارو,ایران,نوروبیون   تزریقی پرنترال 100 mg/100 mg/1000 ug/3ml  ml,10
11,11,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,ویزارسین   قرص خوراکی 100 mg,11
12,12,اکتوورکو,merck kgaa,الیت دارو,آلمان,یوتیروکس   قرص خوراکی 100 ug,12
13,13,اکتوورکو,merck kgaa,الیت دارو,آلمان,یوتیروکس   قرص خوراکی 100 ug,13
14,14,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 2.6 mg,14
15,15,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 2.6 mg,15
16,16,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 2.6 mg,16
17,17,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 2.6 mg,17
18,18,اکتوورکو,merck,الیت دارو,ایران,کنکور کور   قرص خوراکی 2.5 mg,18
19,19,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 20 mg,19
20,20,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,نولپازا   قرص انتریک کوتد خوراکی 20 mg,20
21,21,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتولوکاست   قرص خوراکی 10 mg,21
22,22,اکتوورکو,merck europe bv,الیت دارو,ایتالیا,ربیف   تزریقی پرنترال 12000000 [iu] 0.5 ug,22
23,23,اکتوورکو,merck,الیت دارو,ایران,کنکور   قرص خوراکی 5 mg,23
24,24,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,یاسنال   قرص خوراکی 10 mg,24
25,25,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوکلد   قرص خوراکی 15 mg/2 mg/5 mg/500 mg,25
26,26,اکتوورکو,اکتوورکو,الیت دارو,ایران,بپاکتو   محلول تزریقی پرنترال 250 mg/1ml 2 mg,26
27,27,اکتوورکو,اکتوورکو,الیت دارو,ایران,بیاکتو   محلول تزریقی عضلانی 5 mg/1ml 1 mg,27
28,28,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 20 mg,28
29,29,اکتوورکو,اکتوورکو,الیت دارو,ایران,تامسوور   کپسول پیوسته رهش خوراکی 0.4 mg,29
30,30,الحاوی,الحاوی,الیت دارو,ایران,نوافن   کپسول خوراکی 325 mg/40 mg/200 mg,30
31,31,اکتوورکو,اکتوورکو,الیت دارو,ایران,ناکسپرین   تزریقی پرنترال 100 mg/1ml 0.6 ml,31
